model,fold,mae,rmse,r2,best_params,spearman,best_params_full_data
ElasticNet,17,2.356334851748752,2.6028676416817924,0.0010764638365108326,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 0.1}",,
ElasticNet,18,1.9574876040400362,2.333656140801968,-0.9977061408720389,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 0.01}",,
ElasticNet,19,1.451084856420317,1.7472985399517373,-0.5324896709905027,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,20,1.6036849959548043,1.855660082390249,-0.00020938738721221206,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,21,1.005198829072775,1.167016828098252,-0.28696394074464027,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,22,1.8173569655356918,2.2934149262176686,-0.06540732551510686,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 0.1}",,
ElasticNet,23,1.7652034253068731,2.0275097060864367,-0.020634607980501762,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,24,1.5035924916360608,1.8308664189301924,-0.5655197714413163,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 0.1}",,
ElasticNet,25,1.2404719391354087,1.4138169345031886,0.1879889562938979,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
ElasticNet,26,0.9379868825702341,1.127346648774081,0.45814811984011383,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.8, 'model__alpha': 0.1}",,
ElasticNet,27,1.144553512534605,1.4274460447526878,-0.8183633313248404,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 0.01}",,
ElasticNet,28,1.1496269917451631,1.398738006357697,-0.18834500496032835,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__l1_ratio': 0.8, 'model__alpha': 1.0}",,
ElasticNet,29,1.9093701360515067,2.2445764602074783,0.23936914879404536,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.8, 'model__alpha': 0.1}",,
ElasticNet,30,1.6742484808553908,1.9598672271402031,0.17026312038728875,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 1.0}",,
